,period,short_descriptions,temperatures
0,Today,Sunny,High: 80 °F
1,Tonight,Mostly Clear,Low: 53 °F
2,Thursday,Sunny,High: 81 °F
3,ThursdayNight,Mostly Clear,Low: 53 °F
4,Friday,Sunny,High: 79 °F
5,FridayNight,Mostly Clear,Low: 52 °F
6,Saturday,Sunny,High: 82 °F
7,SaturdayNight,Mostly Clear,Low: 56 °F
8,Sunday,Sunny,High: 85 °F
